#,identifier,typ,DEC (rad),RA (rad),plx (mas),Mag V (mag)
1,HD 121299,PM*,-0.02623444054,3.642076371,13.0011,5.159
2,HD 76924A,SB*,0.4613692868,2.356044502,10.03,6.86
3,HD 58556,*,-0.03924315917,1.945839765,29.5539,6.97
4,HD 2942,*,0.4935833169,0.1431959814,6.077,6.33
5,HD 170028,*,0.457760034,4.827263463,2.8021,6.882
6,HD 71172,*,-0.156312742,2.206196174,4.8996,6.51
7,HD 145502,**,-0.3396533679,4.24113086,6.88,4.00
8,HD 46407,SB*,-0.1948901906,1.713831376,5.0237,6.24
9,HD 179433,PM*,-0.7887758553,5.038151846,9.9058,5.909
10,HD 134597,*,-0.8415801967,3.98161985,6.9782,6.332
11,HD 24982A,*,0.6775435127,1.045741339,3.9087,6.59
12,HD 161019,*,0.482499632,4.63396535,9.1841,6.72
13,HD 50785,SB*,-0.7418420188,1.800570673,6.9899,6.510
14,HD 15524,PM*,0.4404343354,0.6568512701,18.3024,5.879
15,HD 137390,*,0.7901285519,4.032082661,6.4102,6.055
16,HD 194882,**,1.04021796,5.345435068,3.6439,6.441
17,HD 207098,SB*,-0.2814742591,5.703041081,84.27,2.83
18,HD 89015,*,-0.6373543822,2.684961549,8.3563,6.158
19,HD 136366,PM*,-0.3169284155,4.018160849,6.0838,6.17
20,HD 36874,RG*,-0.6132977772,1.45352383,11.2133,5.758
21,HD 187532,*,-0.1878586763,5.19575674,36.4182,5.39
22,HD 210967,LP*,-1.403938437,5.846975213,11.1220,5.177
23,HD 54361,C*,-0.2081004362,1.867752177,1.4527,6.56
24,HD 11883,*,0.8664292601,0.5151083735,6.0021,6.98
25,HD 17326A,PM*,-1.164382961,0.7131571614,~,6.46
26,HD 171487,*,0.3572060274,4.862165157,7.4500,6.570
27,HD 5316,V*,0.4286016238,0.2410498433,4.3336,6.240
28,HD 99625,PM*,-0.4513570157,3.000340443,6.6315,6.75
29,HD 135345,**,-0.7241574519,3.99709626,0.2968,5.171
30,HD 51495,*,1.111371958,1.841099202,2.8981,6.586
31,HD 6130,*,1.065956744,0.2775803201,1.2096,6.00
32,HD 223421,*,1.029102001,6.236055943,12.2795,6.355
33,HD 206774,*,0.6681747138,5.687275529,11.7145,5.695
34,HD 199218,Be*,0.7104006486,5.473225583,3.064,6.702
35,HD 159480,*,0.1673194163,4.601611094,8.6746,5.81
36,HD 13336,PM*,-0.7595078662,0.5635444435,5.9057,5.830
37,HD 28454,SB*,-0.8193883034,1.165441036,30.6049,6.10
38,HD 200856,PM*,-0.8541663423,5.53224723,7.8854,6.691
39,HD 29051,*,0.3002180782,1.200086123,3.3503,6.79
40,HD 79846,V*,-0.9698730048,2.41858932,5.4714,5.254
41,HD 133518,*,-0.9080909551,3.957241108,1.6416,6.39
42,HD 152233,SB*,-0.7294014137,4.424670793,0.6965,6.59
43,HD 11348,PM*,0.6532730556,0.4903156858,16.6885,6.890
44,HD 206330,**,0.7552709487,5.673128014,7.3395,5.086
45,HD 17566,PM*,-1.180132592,0.7223215548,11.0516,4.820
46,HD 58972,SB*,0.1557797896,1.955481023,3.134,4.30
47,HD 152783,Mi*,-0.5337227129,4.435888,3.5441,6.10
48,HD 187098,PM*,-0.5024623211,5.188835582,21.4247,6.031
49,HD 200614B,*,0.9890792203,5.507167351,2.9169,6.90
50,HD 214599,PM*,-0.4943760236,5.932969334,9.4621,6.314
51,HD 144470,bC*,-0.3607453992,4.218491708,7.0956,3.97
52,* eta Oph B,*,-0.2744562049,4.495869018,~,3.26
53,HD 207756,PM*,0.5699826093,5.718191439,8.8298,6.79
54,HD 159358,*,-0.1962098875,4.602313356,8.7799,5.535
55,HD 34358,*,-0.6397136607,1.375083849,3.6177,6.72
56,HD 38524,*,0.4462566124,1.516594072,3.1735,6.473
57,HD 96813,LP*,0.6337182226,2.920450676,7.5976,5.74
58,HD 106614,LP*,-0.9434693332,3.211083979,3.2018,6.60
59,HD 121996,*,0.378670123,3.659295339,5.926,5.748
60,HD 159870,**,1.004589116,4.59687799,5.0191,6.860
61,HD 88759,*,1.049826278,2.688032903,5.7547,6.76
62,HD 169851A,*,-0.4648655994,4.83338063,~,6.98
63,HD 177696,*,1.049439725,4.98327865,2.4274,6.85
64,HD 55879,*,-0.1800524505,1.895736851,1.075,6.03
65,HD 99459,*,-0.3727412773,2.995713969,5.418,6.880
66,HD 175535,SB*,0.8850254067,4.944630562,11.1969,4.92
67,HD 44234,*,0.3100309401,1.664311024,6.6198,6.280
68,HD 199345,*,-0.1692540337,5.484262774,5.0316,5.48
69,Cl Collinder 240,OpC,-1.052603185,2.93069876,~,3.9
70,HD 186776,LP*,0.7106422942,5.169740853,3.3715,6.37
71,HD 89221,PM*,0.7513370723,2.698920074,27.3859,6.530
72,HD 103975,PM*,-0.837358354,3.134001036,26.6512,6.760
73,HD 29305,a2*,-0.9607161195,1.195534334,19.34,3.28
74,HD 72227,V*,-0.561285373,2.227375441,3.0023,5.588
75,HD 13522,*,0.4218073482,0.5786886261,5.7748,5.950
76,HD 166230,*,0.3498553148,4.751139934,9.5493,5.099
77,HD 221675,PM*,-0.02177405235,6.17039449,14.5356,5.870
78,HD 10307,SB*,0.7437440461,0.4441227977,68.0244,4.96
79,HD 63432,*,0.49216109,2.050545169,3.998,6.775
80,HD 108791,*,-1.275638802,3.275594246,2.9861,6.959
81,HD 94180,*,0.01788914707,2.84588244,5.1852,6.370
82,HD 189741,*,-0.2380143076,5.244612545,10.9894,5.690
83,HD 109585,dS*,-0.358272055,3.298584731,13.2558,6.184
84,HD 101150A,*,1.123066436,3.049172923,4.2073,6.79
85,HD 29248,bC*,-0.0585114735,1.205669223,4.7961,3.928
86,HD 13480A,SB*,0.5288883507,0.5775788781,11.3011,5.162
87,HD 83058,*,-0.8945731532,2.505186956,2.8573,5.03
88,[SC96] GC 472,*,-0.686205866,4.76693052,~,6.82
89,HD 200905,SB*,0.7666856743,5.519302686,2.8363,3.73
90,HD 168592,PM*,-0.6746901162,4.809732785,6.7176,5.073
91,HD 154733,PM*,0.3854411978,4.478081935,9.2856,5.565
92,HD 74566,PM*,-1.510709741,2.165455649,9.6737,6.76
93,HD 18885,*,-0.1738592912,0.7938425816,9.6272,5.837
94,HD 114533,*,-1.369166371,3.465738818,1.5528,5.839
95,HD 19615,*,1.28924234,0.851396687,3.786,6.56
96,HD 59499,*,-0.5558593702,1.95848873,2.8052,6.37
97,HD 133790,*,-1.032225211,3.965816856,2.5602,6.87
98,HD 27309,a2*,0.3800191039,1.132769946,11.4023,5.346
99,HD 190268,*,-0.605051184,5.259685391,4.2886,6.99
100,HD 81101,*,-1.089166325,2.447592516,14.5169,4.800
101,HD 126131,*,-0.2810313581,3.769744156,5.3099,6.69
102,HD 142165,SB*,-0.4281844048,4.162167696,7.2782,5.372
103,HD 157661B,*,-0.8001149819,4.567802079,5.2458,6.47
104,HD 34559,PM*,0.385656782,1.393107714,14.0108,4.948
105,HD 150038,*,-0.777961445,4.365225025,2.6426,6.90
106,HD 109896,LP*,0.03236994129,3.309028321,5.6444,5.71
107,HD 115612,*,1.193944804,3.475287644,7.3302,6.189
108,HD 117710,PM*,0.7348910133,3.53980162,13.1045,6.065
109,HD 15920,*,1.270918269,0.689552911,12.1338,5.166
110,HD 207503,*,-0.2220561585,5.714572684,7.9444,6.298
111,Cl Collinder 34,OpC,1.057087808,0.7827073893,0.441,6.8
112,HD 10863,PM*,-0.4773271499,0.4625891951,22.2759,6.385
113,HD 167044,*,0.4267620375,4.767090735,4.3652,6.97
114,HD 177199,*,0.3431493916,4.986741719,3.5144,6.094
115,HD 125161,dS*,0.8965272945,3.735726712,33.8856,4.75
116,HD 167387,*,1.054345245,4.760905835,6.3472,6.500
117,HD 144294,Pu*,-0.642320793,4.217554975,7.3685,4.201
118,HD 74236,*,-1.039289702,2.268868276,3.0429,6.78
119,HD 192461,PM*,-0.06114912749,5.302210608,11.0534,6.91
120,HD 6829,*,1.200413421,0.3082922252,10.6799,5.309
121,HD 218880,*,0.5243512172,6.070166943,3.5499,6.90
122,HD 124281,*,-0.4644724326,3.722878717,5.6955,6.236
123,HD 6793,PM*,-1.078182179,0.2936999575,10.6658,5.342
124,HD 207165,*,0.2394525039,5.701862999,8.8034,6.670
125,HD 103437,**,-0.6588429222,3.117288205,20.0093,6.46
126,HD 184201,LP*,0.08777939053,5.118742778,0.9144,6.63
127,HD 101695,PM*,-0.3542000606,3.063309409,13.2265,6.200
128,HD 131109,PM*,-1.338015738,3.917753918,7.8879,5.359
129,HD 20809,*,0.8589336108,0.8867143124,5.6817,5.30
130,HD 200435,*,-0.04053011983,5.51302236,4.2507,6.97
131,HD 10390,PM*,0.6151536039,0.4453127333,11.1882,5.64
132,HD 89897,*,-0.2340434286,2.714770126,5.0851,6.90
133,HD 208527,*,0.3707054686,5.743877429,3.0302,6.370
134,HD 20393,V*,0.7805034528,0.8663050784,7.5409,6.96
135,HD 84117,PM*,-0.4174053907,2.540502438,66.8827,4.94
136,HD 25940,Be*,0.8327404036,1.084990734,6.3756,4.03
137,HD 1917,SB*,1.063976913,0.1042243425,18.6837,6.569
138,HD 31592,PM*,0.4372120797,1.300953302,10.1378,5.785
139,HD 204414,*,0.4818608747,5.618509947,16.9162,5.379
140,HD 118295,*,0.7713839559,3.557133651,8.3811,6.826
141,HD 76990,*,1.469235862,2.423202547,10.4755,6.280
142,HD 645,RG*,-0.2195606438,0.04674821548,13.729,5.849
143,HD 37397,V*,-0.02040598872,1.47580215,2.8704,6.826
144,HD 193092,V*,0.7045034773,5.309821416,1.7177,5.236
145,HD 48038,*,-0.2126204936,1.749496765,0.8890,6.922
146,HD 182762,PM*,0.3455464433,5.085351492,12.7495,5.16
147,HD 46595,cC*,0.2675671984,1.723327377,0.9723,6.54
148,HD 195135,PM*,-0.05036196699,5.36536029,16.8797,4.900
149,HD 60111,*,0.0574279504,1.977433735,23.1488,5.571
150,HD 212496,**,0.9115688304,5.86238812,19.3014,4.44
151,HD 85268,*,0.2280488932,2.578868252,3.2253,6.450
152,HD 95771,PM*,-0.01313083968,2.893940649,18.8525,6.117
153,HD 26256,PM*,0.1173742876,1.088447288,10.7847,6.73
154,HD 157950,SB*,-0.08877789092,4.566790819,30.9863,4.54
155,HD 70200,*,-1.120275498,2.168057423,4.688,6.67
156,HD 71491,a2*,-0.9681834081,2.204154173,1.8426,6.61
157,HD 36208,*,-1.288078008,1.407339294,2.6855,6.85
158,HD 26912,*,0.1552009388,1.11497864,6.4463,4.279
159,HD 40672,*,-0.1415033638,1.570878482,1.9343,6.61
160,HD 48843,V*,0.2215444748,1.771087339,1.0417,6.470
161,HD 75811,**,0.09320596809,2.323046449,5.3956,6.350
162,BD+47 2951,dS*,0.8334429811,5.213462873,2.8116,6.70
163,HD 13690,*,0.8514133307,0.5885043527,6.4763,6.73
164,HD 150698,PM*,-0.4679043329,4.380153514,21.3763,6.71
165,HD 221835,*,-0.1302788783,6.176434564,5.9807,6.407
166,HD 195922,*,0.1755757902,5.383883319,8.3092,6.536
167,HD 220978,dS*,-0.4436721436,6.145393689,7.8693,6.90
168,HD 162725,a2*,-0.6079166016,4.686073477,3.4718,6.42
169,HD 65626,RS*,0.9996133554,2.105723987,10.0413,6.49
170,HD 5608,SB*,0.592554718,0.2541067717,17.0697,5.980
171,HD 204381,PM*,-0.3806070874,5.62311638,17.4704,4.50
172,HD 111884,PM*,-0.9591016003,3.373151641,7.4681,5.908
173,HD 50445,PM*,-0.6323375387,1.796410729,18.1435,5.940
174,HD 184786,LP*,0.8597896594,5.121203709,2.7414,5.96
175,HD 2273,**,-0.0008643216181,0.1161669888,7.8176,6.192
176,HD 13121,V*,-1.479186719,0.5048351328,3.1931,6.97
177,HD 194220,PM*,0.7502043612,5.336019272,8.9624,6.30
178,HD 112235,V*,0.05322058386,3.382381912,3.8502,6.95
179,HD 211607,PM*,0.2434790592,5.838423304,7.427,6.85
180,HD 62412,*,-0.4599174098,2.019357026,9.9018,5.628
181,HD 197562,*,0.4152332297,5.427077463,4.1026,6.930
182,HD 74146,SB*,-0.9259796671,2.268753385,6.558,5.19
183,HD 28413,*,-1.068808079,1.156668742,4.4945,5.922
184,HD 139461,SB*,-0.1534396806,4.095710378,28.2972,6.38
185,HD 142596,PM*,-0.1509299052,4.170047792,7.346,6.98
186,HD 98022,*,-0.8363767508,2.94914687,5.7632,6.55
187,[SC93] 106,*,0.06894050545,1.636246174,~,6.42
188,HD 184787,*,0.7317680222,5.123864214,7.1703,6.676
189,HD 181409,*,0.5827446577,5.057363532,1.7514,6.586
190,HD 116177,*,-0.2516742618,3.499850735,2.7389,6.84
191,HD 157911,*,0.5702056797,4.558165579,5.6604,6.68
192,HD 96919,s*b,-1.081182178,2.917172243,0.3851,5.19
193,HD 88366,Mi*,-1.074232864,2.658855874,2.1378,5.71
194,HD 220657,PM*,0.4084786176,6.132125815,18.7061,4.40
195,HD 111930,*,-0.6874890702,3.373815968,2.6535,6.85
196,HD 217590,PM*,0.06162600262,6.028918516,7.7671,6.45
197,HD 134060,PM*,-1.07202176,3.973877852,41.6198,6.285
198,HD 135061,PM*,0.1867904961,3.982781165,5.6598,6.50
199,HD 191829,PM*,-0.9153512844,5.298457836,4.5849,5.632
200,HD 148283,**,0.6526493263,4.299630889,13.1903,5.540
201,HD 155231,*,0.008405827632,4.495354156,8.7527,6.84
202,HD 210000,PM*,-0.2529114495,5.792696758,6.7067,6.71
203,HD 124517A,*,0.2094001738,3.725511434,6.2867,6.71
204,HD 145782,PM*,-1.010761175,4.257861428,8.1576,5.622
205,HD 144204,*,0.923557346,4.197921593,3.6426,5.902
206,HD 189567,PM*,-1.174971293,5.260187145,55.7654,6.07
207,HD 197102,EB?,0.4551678752,5.413594596,6.2085,6.75
208,HD 565,*,-1.087284167,0.04305990417,7.3870,6.33
209,HD 122768,*,0.3926250031,3.679880282,5.7555,6.858
210,HD 211726,*,-1.003735047,5.849490897,4.3387,6.396
211,HD 44478,LP*,0.3929361454,1.670980179,14.08,2.87
212,HD 32846,dS*,-0.6231716637,1.328352429,9.7026,6.31
213,HD 85829,*,0.912265844,2.600978225,6.3936,6.62
214,HD 150608,*,-0.6659538335,4.379874616,2.8136,6.046
215,HD 24395,*,0.9934243517,1.028753152,5.8211,6.920
216,HD 149886,**,-0.649565751,4.359339896,6.8834,5.914
217,HD 44323,*,-0.6003337618,1.656677925,7.9508,5.749
218,HD 190429,**,0.6287573267,5.25121567,1.16,6.63
219,[SC96] Mis 715,UV,-0.599812068,4.670501078,~,6.87
220,HD 36136,*,-0.6845517002,1.430068116,5.5879,6.85
221,HD 133638,V*,-1.199415063,3.96891797,4.754,6.832
222,HD 154153,*,-0.7697783684,4.475930517,14.3227,6.178
223,HD 175156,*,-0.2723243665,4.951143742,1.7668,5.086
224,HD 216489,RS*,0.2939342957,5.991007475,10.1655,5.890
225,HD 35656,Em*,0.1198806999,1.425267108,10.0063,6.399
226,HD 40409,PM*,-1.10112439,1.54505669,36.5981,4.66
227,HD 218594,PM*,-0.3695283559,6.062604491,12.6710,3.64
228,HD 21743B,PM*,0.4812183515,0.9221079491,9.6873,6.92
229,HD 119629,PM*,-0.8515751326,3.601728425,16.7337,6.762
230,HD 142661,**,-0.03777604072,4.170943226,27.10,7.0
231,HD 26549,*,-0.2787018815,1.097055977,2.0573,6.98
232,HD 74686,*,0.003452080787,2.292440561,6.4549,6.56
233,HD 22920,a2*,-0.09094404456,0.9627187513,5.2403,5.53
234,HD 23466,SB*,0.1055923487,0.9846888289,5.5383,5.337
235,HD 101615,PM*,-0.7521612643,3.060128762,15.6117,5.53
236,HD 123888,*,-0.5598265767,3.712595432,3.4087,6.62
237,HD 2219,*,0.8560663896,0.1150326398,2.6991,6.93
238,HD 211976,*,0.1428856045,5.850910682,31.8293,6.163
239,HD 133640A,PM*,0.8317188045,3.943515423,77.2460,5.136
240,FAUST 475,*,-1.242587161,0.7211840096,~,6.7
241,HD 121122,V*,-0.9603060263,3.643321695,2.5696,6.96
242,HD 8250,*,0.2199842066,0.3576686652,12.3317,6.98
243,HD 52388,*,-0.3455973617,1.833687651,6.4766,6.89
244,HD 89713,*,-0.9000287994,2.704701584,6.1819,6.94
245,HD 7034,**,0.5484649937,0.3102877846,3.8814,5.152
246,HD 4691,PM*,-0.4973392109,0.2124413941,16.7248,6.772
247,HD 110284,LP*,-0.4870898395,3.321486882,5.481,6.68
248,HD 205551,Be*,0.9023084652,5.648137321,2.1850,6.163
249,HD 90206,*,0.6318886301,2.729299988,5.5913,6.63
250,HD 189825,*,-0.08708816217,5.245482169,6.3954,6.71
251,HD 130701,cC*,-1.113691477,3.894648321,1.9624,5.96
